gene_oid	taxon_oid
637449936	637000214
637686994	637000212
640078650	640069321
640080686	640069324
640087144	640069323
640160519	640069322
640943573	640753041
647673898	647533199
2553536569	2551306553
2553547864	2551306560
2607022457	2606217312
2607024285	2606217313
2607027401	2606217314
2607028865	2606217315
2607031065	2606217316
2607035406	2606217318
2607361738	2606217419
2607807999	2606217555
2607811795	2606217557
2607814158	2606217558
2607816045	2606217559
2607817870	2606217560
2607980288	2606217606
2608168136	2606217667
2608172107	2606217668
2608172520	2606217669
2608199767	2606217677
2608208874	2606217679
2608211019	2606217680
2608213837	2606217681
2608216457	2606217682
2608217268	2606217683
2608221109	2606217684
2608227678	2606217688
2608229857	2606217689
2608232869	2606217690
2608233838	2606217691
2608236697	2606217692
2624147685	2623620345
2624149569	2623620346
2624151930	2623620347
2624154139	2623620348
2626312088	2623620961
2626314409	2623620962
2626316849	2623620963
2626399128	2623620984
