gene_oid	db_name	id
637448992	GI	33860561
637448992	GenBank/EMBL	NP_892122
637448992	GeneID	1727280
637448992	PIRSF	PIRSF000804
637448992	TIGRFam	TIGR00663
637448992	UniProt/TrEMBL	Q7V3R7
637448993	GI	33860562
637448993	GenBank/EMBL	NP_892123
637448993	GeneID	1727310
637448993	UniProtKB	Q7V3R6
637448994	GI	33860563
637448994	GenBank/EMBL	NP_892124
637448994	GeneID	1727308
637448994	UniProtKB	Q7V3R5
637448995	GI	33860564
637448995	GenBank/EMBL	NP_892125
637448995	GeneID	1725722
637448995	UniProtKB	Q7TUI2
637448996	GI	33860565
637448996	GenBank/EMBL	NP_892126
637448996	GeneID	1727314
637448996	UniProtKB	Q7V3R4
637448997	GI	33860566
637448997	GenBank/EMBL	NP_892127
637448997	GeneID	1725593
637448997	UniProtKB	Q7V3R3
637448998	GI	33860567
637448998	GenBank/EMBL	NP_892128
637448998	GeneID	1727205
637448998	UniProtKB	Q7V3R2
637448999	GI	33860568
637448999	GenBank/EMBL	NP_892129
637448999	GeneID	1725685
637448999	UniProtKB	Q7V3R1
637449000	GI	33860569
637449000	GenBank/EMBL	NP_892130
637449000	GeneID	1727144
637449000	UniProtKB	Q7V3R0
637449001	GI	33860570
637449001	GenBank/EMBL	NP_892131
637449001	GeneID	1727121
637449001	UniProtKB	Q7V3Q9
637449002	GI	33860571
637449002	GenBank/EMBL	NP_892132
637449002	GeneID	1727118
637449002	UniProtKB	Q7V3Q8
637449003	GI	33860572
637449003	GenBank/EMBL	NP_892133
637449003	GeneID	1725707
637449003	UniProtKB	Q7TUI1
637449004	GI	33860573
637449004	GenBank/EMBL	NP_892134
637449004	GeneID	1725717
637449004	UniProtKB	Q7V3Q7
637449005	GI	33860574
637449005	GenBank/EMBL	NP_892135
637449005	GeneID	1725729
637449005	PIRSF	PIRSF006621
637449005	UniProt/TrEMBL	Q7V3Q6
637449006	GI	33860575
637449006	GenBank/EMBL	NP_892136
637449006	GeneID	1726152
637449006	TIGRFam	TIGR00357
637449006	UniProt/TrEMBL	Q7V3Q5
637449007	GI	33860576
637449007	GenBank/EMBL	NP_892137
637449007	GeneID	1727311
637449007	UniProtKB	Q7V3Q4
