gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
637448992	385	31.33	1	383	1	364	1.0e-62	233	COG0592	DNA polymerase sliding clamp subunit (PCNA homolog)	364
637448994	779	43.71	21	769	24	739	0.0e+00	797	COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	743
637448995	486	49.49	1	486	4	470	0.0e+00	559	COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	470
637448996	813	40.1	3	810	5	802	0.0e+00	656	COG0188	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit	804
637448998	314	35.9	12	313	3	309	2.0e-59	223	COG1600	Uncharacterized Fe-S protein	337
637448999	245	38.35	15	219	1	201	3.0e-51	195	COG2928	Uncharacterized conserved protein	222
637449001	440	47.6	130	438	29	340	1.0e-87	317	COG0552	Signal recognition particle GTPase	340
637449002	447	30.82	151	447	75	366	2.0e-46	180	COG2208	Serine phosphatase RsbU, regulator of sigma subunit	367
637449003	459	53.39	1	457	2	457	0.0e+00	599	COG0165	Argininosuccinate lyase	459
637449005	334	31.97	5	317	3	310	3.0e-63	235	COG0042	tRNA-dihydrouridine synthase	323
637449006	164	48	42	164	5	129	1.0e-45	175	COG0229	Conserved domain frequently associated with peptide methionine sulfoxide reductase	140
637449007	239	29.32	21	211	3	193	2.0e-27	116	COG0576	Molecular chaperone GrpE (heat shock protein)	193
637449008	374	48.38	3	369	5	365	1.0e-112	400	COG0484	DnaJ-class molecular chaperone with C-terminal Zn finger domain	371
637449010	305	30	9	298	7	295	3.0e-51	195	COG1162	Predicted GTPases	301
637449011	116	31.96	10	105	5	101	3.0e-11	60.6	COG0718	Uncharacterized protein conserved in bacteria	105
637449012	296	37.54	4	296	1	291	2.0e-73	269	COG0812	UDP-N-acetylmuramate dehydrogenase	291
637449013	473	33.91	9	457	8	445	1.0e-105	377	COG0773	UDP-N-acetylmuramate-alanine ligase	459
637449014	340	58.41	2	339	1	334	1.0e-122	433	COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	335
637449015	328	28.66	7	328	1	317	7.0e-46	177	COG0611	Thiamine monophosphate kinase	317
637449016	363	25.14	179	353	2	142	5.0e-18	85.7	COG0652	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family	158
637449017	186	48.84	1	129	3	131	2.0e-36	145	COG0231	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	131
637449018	168	31.85	10	166	1	139	5.0e-23	100	COG0511	Biotin carboxyl carrier protein	140
637449019	346	37.94	11	336	3	325	8.0e-79	287	COG1995	Pyridoxal phosphate biosynthesis protein	332
637449020	295	17.88	13	275	2	292	2.0e-13	70	COG0451	Nucleoside-diphosphate-sugar epimerases	314
637449026	384	42.93	9	380	8	377	2.0e-116	412	COG0075	Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase	383
637449027	372	28.69	1	358	10	360	1.0e-52	200	COG1903	Cobalamin biosynthesis protein CbiD	367
