gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
637448992	385	17	379	SMART	SM00480	IPR001001	DNA polymerase III, beta chain	GO:0003677|GO:0003887|GO:0006260|GO:0008408|GO:0009360
637448992	385	1	124	SUPERFAMILY	SSF55979			
637448992	385	127	259	SUPERFAMILY	SSF55979			
637448992	385	261	383	SUPERFAMILY	SSF55979			
637448993	235	86	139	SUPERFAMILY	SSF50346	IPR011033	PRC-barrel-like	
637448994	779	201	444	SUPERFAMILY	SSF56042	IPR010918	AIR synthase-related protein, C-terminal domain	
637448994	779	600	775	SUPERFAMILY	SSF56042	IPR010918	AIR synthase-related protein, C-terminal domain	
637448994	779	22	199	SUPERFAMILY	SSF55326	IPR016188	PurM, N-terminal-like	GO:0003824
637448994	779	415	597	SUPERFAMILY	SSF55326	IPR016188	PurM, N-terminal-like	GO:0003824
637448995	486	2	238	ProSiteProfiles	PS51278	IPR017932	Glutamine amidotransferase type 2 domain	
637448995	486	2	261	SUPERFAMILY	SSF56235			
637448995	486	254	483	SUPERFAMILY	SSF53271			
637448996	813	9	468	SMART	SM00434	IPR002205	DNA topoisomerase, type IIA, subunit A/C-terminal	GO:0003677|GO:0003918|GO:0005524|GO:0006265
637448996	813	4	491	SUPERFAMILY	SSF56719	IPR013760	DNA topoisomerase, type IIA-like domain	GO:0003918|GO:0005524
637448996	813	517	807	SUPERFAMILY	SSF101904			
637448997	284	43	212	ProSiteProfiles	PS50293	IPR013026	Tetratricopeptide repeat-containing domain	GO:0005515
637448997	284	77	110	ProSiteProfiles	PS50005	IPR019734	Tetratricopeptide repeat	GO:0005515
637448997	284	77	110	SMART	SM00028	IPR019734	Tetratricopeptide repeat	GO:0005515
637448997	284	111	144	ProSiteProfiles	PS50005	IPR019734	Tetratricopeptide repeat	GO:0005515
637448997	284	111	144	SMART	SM00028	IPR019734	Tetratricopeptide repeat	GO:0005515
637448997	284	145	178	ProSiteProfiles	PS50005	IPR019734	Tetratricopeptide repeat	GO:0005515
637448997	284	145	178	SMART	SM00028	IPR019734	Tetratricopeptide repeat	GO:0005515
637448997	284	179	212	ProSiteProfiles	PS50005	IPR019734	Tetratricopeptide repeat	GO:0005515
637448997	284	179	212	SMART	SM00028	IPR019734	Tetratricopeptide repeat	GO:0005515
637448997	284	49	210	SUPERFAMILY	SSF48452			
637448998	314	181	210	ProSiteProfiles	PS51379	IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain	GO:0051536
637448998	314	190	201	ProSitePatterns	PS00198	IPR017900	4Fe-4S ferredoxin, iron-sulphur binding, conserved site	
637448998	314	187	287	SUPERFAMILY	SSF54862			
637449000	209	80	205	SUPERFAMILY	SSF48013	IPR006027	NusB/RsmB/TIM44	GO:0003723|GO:0006355
637449001	440	236	438	SMART	SM00962	IPR000897	Signal recognition particle, SRP54 subunit, GTPase domain	GO:0005525|GO:0006614
637449001	440	411	424	ProSitePatterns	PS00300	IPR000897	Signal recognition particle, SRP54 subunit, GTPase domain	GO:0005525|GO:0006614
637449001	440	235	399	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
637449001	440	133	208	SUPERFAMILY	SSF47364	IPR013822	Signal recognition particle, SRP54 subunit, helical bundle	GO:0005525|GO:0006614
637449001	440	138	217	SMART	SM00963	IPR013822	Signal recognition particle, SRP54 subunit, helical bundle	GO:0005525|GO:0006614
637449001	440	233	437	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
637449002	447	216	446	SMART	SM00331	IPR001932	Protein phosphatase 2C (PP2C)-like domain	GO:0003824
637449003	459	8	457	SUPERFAMILY	SSF48557	IPR008948	L-Aspartase-like	GO:0003824
637449003	459	276	285	ProSitePatterns	PS00163	IPR020557	Fumarate lyase, conserved site	GO:0003824
637449004	221	22	100	ProSiteProfiles	PS50102	IPR000504	RNA recognition motif domain	GO:0003676
637449004	221	23	96	SMART	SM00360	IPR000504	RNA recognition motif domain	GO:0003676
637449004	221	23	131	SUPERFAMILY	SSF54928			
637449005	334	97	115	ProSitePatterns	PS01136	IPR018517	tRNA-dihydrouridine synthase, conserved site	GO:0008033|GO:0017150|GO:0050660|GO:0055114
637449005	334	14	310	SUPERFAMILY	SSF51395			
637449006	164	41	163	SUPERFAMILY	SSF51316	IPR011057	Mss4-like	
637449007	239	164	207	ProSitePatterns	PS01071	IPR000740	GrpE nucleotide exchange factor	GO:0000774|GO:0006457|GO:0042803|GO:0051087
637449007	239	156	210	SUPERFAMILY	SSF51064	IPR009012	GrpE nucleotide exchange factor, head	GO:0006457
637449007	239	56	153	SUPERFAMILY	SSF58014			
637449008	374	132	211	SUPERFAMILY	SSF57938	IPR001305	Heat shock protein DnaJ, cysteine-rich domain	GO:0031072|GO:0051082
637449008	374	132	214	ProSiteProfiles	PS51188	IPR001305	Heat shock protein DnaJ, cysteine-rich domain	GO:0031072|GO:0051082
637449008	374	2	59	SMART	SM00271	IPR001623	DnaJ domain	
637449008	374	2	100	SUPERFAMILY	SSF46565	IPR001623	DnaJ domain	
637449008	374	3	67	ProSiteProfiles	PS50076	IPR001623	DnaJ domain	
637449008	374	111	136	SUPERFAMILY	SSF49493	IPR008971	HSP40/DnaJ peptide-binding	GO:0006457|GO:0051082
637449008	374	188	269	SUPERFAMILY	SSF49493	IPR008971	HSP40/DnaJ peptide-binding	GO:0006457|GO:0051082
637449008	374	261	347	SUPERFAMILY	SSF49493	IPR008971	HSP40/DnaJ peptide-binding	GO:0006457|GO:0051082
637449008	374	44	63	ProSitePatterns	PS00636	IPR018253	DnaJ domain, conserved site	
637449009	77	3	68	SUPERFAMILY	SSF64307	IPR001455	TusA-like domain	
637449010	305	86	234	ProSiteProfiles	PS50936	IPR010914	EngC GTPase	GO:0003924|GO:0005525
637449010	305	7	76	SUPERFAMILY	SSF50249	IPR012340	Nucleic acid-binding, OB-fold	
637449010	305	2	73	SMART	SM00316	IPR022967	RNA-binding domain, S1	
637449010	305	81	294	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
637449011	116	16	109	SUPERFAMILY	SSF82607	IPR004401	Nucleoid-associated protein YbaB	
637449012	296	189	293	SUPERFAMILY	SSF56194	IPR011601	UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal	GO:0008762|GO:0055114
637449012	296	11	190	SUPERFAMILY	SSF56176	IPR016166	FAD-binding, type 2	GO:0003824|GO:0016614|GO:0050660|GO:0055114
