gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
637448992	385	1	123	1	120	1.1e-29	102.7	pfam00712	DNA_pol3_beta	120
637448992	385	132	258	2	116	7.1e-23	80.8	pfam02767	DNA_pol3_beta_2	116
637448992	385	260	382	2	120	6.7e-27	93.4	pfam02768	DNA_pol3_beta_3	121
637448994	779	77	172	1	95	1.6e-25	89.1	pfam00586	AIRS	96
637448994	779	204	360	2	150	5.8e-28	97.8	pfam02769	AIRS_C	153
637448994	779	457	562	2	96	1.8e-13	50.5	pfam00586	AIRS	96
637448994	779	604	743	6	129	4.6e-11	42.9	pfam02769	AIRS_C	153
637448995	486	2	55	1	54	2.4e-04	19.9	pfam00310	GATase_2	361
637448995	486	45	213	180	361	7.0e-20	71	pfam00310	GATase_2	361
637448995	486	269	397	6	119	3.8e-14	52.4	pfam00156	Pribosyltran	125
637448996	813	30	476	1	425	0.0e+00	479	pfam00521	DNA_topoisoIV	426
637448997	284	109	176	3	67	3.4e-10	39.4	pfam13414	TPR_11	69
637448997	284	179	242	5	69	5.7e-07	29	pfam13414	TPR_11	69
637448998	314	65	137	1	78	8.5e-23	79.8	pfam08331	DUF1730	78
637448998	314	189	254	2	67	5.2e-15	55.9	pfam13484	Fer4_16	67
637448999	245	79	186	2	108	9.7e-37	125	pfam04367	DUF502	108
637449000	209	79	205	53	134	7.7e-25	87.4	pfam01029	NusB	134
637449001	440	138	213	1	75	6.5e-12	45.3	pfam02881	SRP54_N	75
637449001	440	236	438	2	195	2.1e-73	245.9	pfam00448	SRP54	196
637449002	447	251	447	2	192	2.0e-53	180.9	pfam07228	SpoIIE	193
637449003	459	7	301	2	312	6.2e-69	232.5	pfam00206	Lyase_1	312
637449003	459	365	434	1	70	1.9e-24	85.4	pfam14698	ASL_C2	70
637449004	221	24	94	1	70	5.1e-19	67.6	pfam00076	RRM_1	70
637449005	334	16	330	2	297	1.6e-72	244	pfam01207	Dus	310
637449006	164	43	164	2	123	3.5e-42	143	pfam01641	SelR	124
637449007	239	2	209	7	165	4.5e-43	146.6	pfam01025	GrpE	166
637449008	374	3	64	1	64	1.5e-26	91.9	pfam00226	DnaJ	64
637449008	374	145	209	1	66	5.9e-15	55	pfam00684	DnaJ_CXXCXGXG	66
637449008	374	267	346	1	80	3.2e-18	65.3	pfam01556	CTDII	81
637449009	77	6	73	3	64	1.2e-10	40.7	pfam01206	TusA	70
637449010	305	137	294	5	160	4.3e-45	152.7	pfam03193	DUF258	161
637449011	116	16	107	1	92	1.1e-23	82.8	pfam02575	YbaB_DNA_bd	93
637449012	296	24	154	3	130	5.9e-21	74.3	pfam01565	FAD_binding_4	139
637449012	296	190	292	2	105	9.5e-36	121.7	pfam02873	MurB_C	105
637449013	473	10	117	1	82	3.3e-15	55.9	pfam01225	Mur_ligase	83
637449013	473	121	295	1	188	3.2e-21	76.2	pfam08245	Mur_ligase_M	188
637449013	473	315	411	2	90	2.9e-16	59.2	pfam02875	Mur_ligase_C	91
637449014	340	3	157	2	151	3.6e-51	173.1	pfam00044	Gp_dh_N	151
637449014	340	162	318	1	157	6.2e-67	223.9	pfam02800	Gp_dh_C	157
637449015	328	28	125	1	95	1.6e-12	47.5	pfam00586	AIRS	96
637449015	328	152	311	5	145	2.9e-05	24.1	pfam02769	AIRS_C	153
637449016	363	178	353	2	139	2.9e-24	86	pfam00160	Pro_isomerase	155
637449017	186	3	60	1	58	1.4e-29	101.7	pfam08207	EFP_N	58
637449017	186	67	121	2	55	1.6e-16	59.7	pfam01132	EFP	55
637449017	186	129	184	1	56	1.6e-27	94.6	pfam09285	Elong-fact-P_C	56
637449018	168	91	165	2	73	3.6e-21	74.5	pfam00364	Biotin_lipoyl	74
637449019	346	37	334	52	298	1.0e-77	261.3	pfam04166	PdxA	299
637449020	295	14	201	2	183	4.3e-10	39.8	pfam13460	NAD_binding_10	183
637449022	134	33	74	1	46	2.6e-11	43.2	pfam01844	HNH	47
637449024	170	2	164	161	314	3.2e-14	52.7	pfam05145	AmoA	318
637449026	384	7	355	3	368	2.6e-52	177.8	pfam00266	Aminotran_5	371
637449027	372	1	261	5	261	1.6e-38	132.1	pfam01888	CbiD	261
637449028	528	15	198	2	190	8.4e-42	142.7	pfam00117	GATase	192
637449028	528	212	303	12	73	6.8e-05	22.4	pfam00733	Asn_synthase	255
637449028	528	435	527	2	93	5.8e-43	144.5	pfam00958	GMP_synt_C	93
637449029	237	42	229	106	252	1.1e-09	38.1	pfam12705	PDDEXK_1	257
637449031	596	59	233	3	176	4.1e-38	131.2	pfam03717	PBP_dimer	179
637449031	596	265	590	1	303	2.3e-61	207.4	pfam00905	Transpeptidase	304
637449032	174	5	153	3	148	2.5e-21	75.7	pfam03358	FMN_red	152
637449033	600	281	413	1	123	1.2e-05	25.3	pfam00258	Flavodoxin_1	143
637449033	600	447	599	4	148	5.8e-18	65.2	pfam01613	Flavin_Reduct	154
637449034	591	50	249	2	194	6.6e-16	58.5	pfam00753	Lactamase_B	194
637449034	591	437	589	2	147	1.5e-15	57.3	pfam01613	Flavin_Reduct	154
637449035	886	14	556	1	549	0.0e+00	673.1	pfam01411	tRNA-synt_2c	552
637449035	886	653	696	1	44	2.2e-17	62.6	pfam07973	tRNA_SAD	44
637449035	886	799	874	4	67	1.1e-07	31.4	pfam02272	DHHA1	68
637449036	648	78	352	9	250	9.1e-48	162.6	pfam02784	Orn_Arg_deC_N	251
637449036	648	355	574	1	116	8.5e-32	109.2	pfam00278	Orn_DAP_Arg_deC	116
637449037	152	4	138	1	135	2.4e-53	179.5	pfam00334	NDK	135
637449038	369	8	345	2	355	8.7e-53	179.4	pfam01266	DAO	358
637449039	490	8	304	1	288	2.5e-119	397.4	pfam02934	GatB_N	289
637449039	490	341	488	1	148	5.7e-51	172.1	pfam02637	GatB_Yqey	148
637449040	204	12	194	3	177	1.1e-53	181.3	pfam01121	CoaE	180
637449041	402	11	402	1	388	0.0e+00	451.8	pfam01960	ArgJ	388
637449042	223	3	166	1	188	3.6e-14	52.6	pfam01656	CbiA	195
637449043	320	4	306	1	281	4.6e-49	166.7	pfam00248	Aldo_ket_red	283
637449044	374	15	154	30	141	1.1e-06	28.6	pfam02926	THUMP	144
637449044	374	162	370	1	178	8.9e-41	139.4	pfam01170	UPF0020	180
637449045	128	9	127	4	118	6.2e-10	38.8	pfam07332	DUF1469	121
637449047	120	7	110	6	101	1.1e-15	57.5	pfam13298	LigD_N	105
637449048	1194	3	1186	1	217	2.6e-50	170.6	pfam02463	SMC_N	220
637449048	1194	539	659	2	117	7.6e-28	96.8	pfam06470	SMC_hinge	120
637449049	338	20	96	6	76	1.8e-08	34	pfam05239	PRC	79
637449049	338	102	180	5	76	5.5e-08	32.5	pfam05239	PRC	79
637449052	449	1	110	1	110	4.7e-42	142.5	pfam00289	CPSase_L_chain	110
637449052	449	115	324	1	209	8.0e-84	280.1	pfam02786	CPSase_L_D2	211
637449052	449	336	442	1	107	4.2e-41	139.2	pfam02785	Biotin_carb_C	107
637449053	101	13	88	1	74	8.2e-15	54.5	pfam02325	YGGT	75
637449054	46	1	40	1	39	1.5e-16	59.7	pfam06596	PsbX	39
637449055	310	2	85	1	84	4.2e-38	128.9	pfam07444	Ycf66_N	84
