gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
637448992	385	1	383	2.2e-99	318.8	TIGR00663	DNA polymerase III, beta subunit
637448994	779	21	779	0.0e+00	857.8	TIGR01736	phosphoribosylformylglycinamidine synthase II
637448995	486	2	468	0.0e+00	472.7	TIGR01134	amidophosphoribosyltransferase
637448998	314	15	314	3.4e-84	268.7	TIGR00276	epoxyqueuosine reductase
637449000	209	77	207	2.7e-33	101.2	TIGR01951	transcription antitermination factor NusB
637449001	440	162	437	8.0e-105	336	TIGR00064	signal recognition particle-docking protein FtsY
637449003	459	4	458	0.0e+00	620.6	TIGR00838	argininosuccinate lyase
637449005	334	13	331	1.7e-119	384.9	TIGR00742	tRNA dihydrouridine synthase A
637449006	164	40	164	3.0e-50	155.9	TIGR00357	methionine-R-sulfoxide reductase
637449008	374	3	354	0.0e+00	429.4	TIGR02349	chaperone protein DnaJ
637449010	305	50	297	1.8e-61	193.8	TIGR00157	ribosome small subunit-dependent GTPase A
637449011	116	7	111	8.1e-23	66.8	TIGR00103	DNA-binding protein, YbaB/EbfC family
637449012	296	12	292	6.4e-80	254.5	TIGR00179	UDP-N-acetylenolpyruvoylglucosamine reductase
637449013	473	10	465	7.2e-118	380.4	TIGR01082	UDP-N-acetylmuramate--L-alanine ligase
637449014	340	4	330	0.0e+00	425	TIGR01534	glyceraldehyde-3-phosphate dehydrogenase, type I
637449015	328	10	328	2.7e-58	183.4	TIGR01379	thiamine-phosphate kinase
637449017	186	2	185	7.6e-78	246.5	TIGR00038	translation elongation factor P
637449018	168	5	167	7.9e-48	149	TIGR00531	acetyl-CoA carboxylase, biotin carboxyl carrier protein
637449019	346	13	337	9.2e-109	349.7	TIGR00557	4-hydroxythreonine-4-phosphate dehydrogenase
637449024	170	6	162	6.1e-39	119.5	TIGR03082	membrane protein AbrB duplication
637449027	372	11	364	2.3e-68	216.5	TIGR00312	cobalamin biosynthesis protein CbiD
637449028	528	14	202	1.3e-78	249.7	TIGR00888	GMP synthase (glutamine-hydrolyzing), N-terminal domain or A subunit
637449028	528	209	528	0.0e+00	499.9	TIGR00884	GMP synthase (glutamine-hydrolyzing), C-terminal domain or B subunit
637449031	596	15	595	0.0e+00	540.1	TIGR03423	penicillin-binding protein 2
637449035	886	14	859	0.0e+00	998.5	TIGR00344	alanine--tRNA ligase
637449036	648	13	647	0.0e+00	715.9	TIGR01273	arginine decarboxylase, biosynthetic
637449038	369	9	350	3.5e-81	259	TIGR02352	glycine oxidase ThiO
637449039	490	4	489	0.0e+00	596.5	TIGR00133	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit
637449040	204	13	202	1.1e-59	187.5	TIGR00152	dephospho-CoA kinase
637449041	402	2	402	0.0e+00	423.9	TIGR00120	glutamate N-acetyltransferase/amino-acid acetyltransferase
637449048	1194	3	1192	0.0e+00	912.3	TIGR02169	chromosome segregation protein SMC, primarily archaeal type
637449052	449	1	448	0.0e+00	781.4	TIGR00514	acetyl-CoA carboxylase, biotin carboxylase subunit
637449060	201	30	192	1.7e-58	182.9	TIGR00079	peptide deformylase
637449062	425	18	422	0.0e+00	558.1	TIGR01979	cysteine desulfurases, SufSfamily
637449064	261	12	254	2.3e-112	360.3	TIGR01978	FeS assembly ATPase SufC
637449065	480	13	471	0.0e+00	630.5	TIGR01980	FeS assembly protein SufB
637449072	226	7	225	7.0e-19	54.5	TIGR00671	pantothenate kinase, type III
637449073	240	25	238	4.6e-68	215.3	TIGR00434	phosophoadenylyl-sulfate reductase (thioredoxin)
637449087	308	15	299	2.2e-17	49.8	TIGR00765	YihY family inner membrane protein
