gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
637448992	385	100	1	385	1	385	0.0e+00	740.3	KO:K02338	DNA polymerase III subunit beta [EC:2.7.7.7]	EC:2.7.7.7	Yes
637448994	779	100	1	779	1	779	0.0e+00	1550.4	KO:K01952	phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	EC:6.3.5.3	Yes
637448995	486	100	1	486	1	486	0.0e+00	972.6	KO:K00764	amidophosphoribosyltransferase [EC:2.4.2.14]	EC:2.4.2.14	Yes
637448996	813	100	1	813	1	813	0.0e+00	1590.1	KO:K02469	DNA gyrase subunit A [EC:5.99.1.3]	EC:5.99.1.3	Yes
637449000	209	100	1	209	1	209	0.0e+00	409.5	KO:K03625	N utilization substance protein B		Yes
637449001	440	100	1	440	1	440	0.0e+00	837.8	KO:K03110	fused signal recognition particle receptor		Yes
637449002	447	100	1	447	1	447	0.0e+00	897.5	KO:K07315	sigma-B regulation protein RsbU (phosphoserine phosphatase)		Yes
637449003	459	100	1	459	1	459	0.0e+00	914.4	KO:K01755	argininosuccinate lyase [EC:4.3.2.1]	EC:4.3.2.1	Yes
637449005	334	100	1	334	1	334	0.0e+00	676	KO:K05539	tRNA-dihydrouridine synthase A [EC:1.-.-.-]	EC:1.-	Yes
637449006	164	100	1	164	1	164	0.0e+00	349	KO:K07305	peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]	EC:1.8.4.12	Yes
637449007	239	100	1	239	1	239	0.0e+00	468	KO:K03687	molecular chaperone GrpE		Yes
637449008	374	100	1	374	1	374	0.0e+00	761.9	KO:K03686	molecular chaperone DnaJ		Yes
637449010	305	100	1	305	1	305	0.0e+00	607.4	KO:K06949	ribosome biogenesis GTPase [EC:3.6.1.-]	EC:3.6.1.-	Yes
637449011	116	100	1	116	1	116	0.0e+00	230.7	KO:K09747	hypothetical protein		Yes
637449012	296	100	1	296	1	296	0.0e+00	588.6	KO:K00075	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	EC:1.3.1.98	Yes
637449013	473	100	1	473	1	473	0.0e+00	954.5	KO:K01924	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	EC:6.3.2.8	Yes
637449014	340	100	1	340	1	340	0.0e+00	682.9	KO:K00150	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	EC:1.2.1.59	Yes
637449015	328	100	1	328	1	328	0.0e+00	668.3	KO:K00946	thiamine-monophosphate kinase [EC:2.7.4.16]	EC:2.7.4.16	Yes
637449016	363	100	1	363	1	363	0.0e+00	728.4	KO:K01802	peptidylprolyl isomerase [EC:5.2.1.8]	EC:5.2.1.8	Yes
637449017	186	100	1	186	1	186	0.0e+00	366.3	KO:K02356	elongation factor P		Yes
637449018	168	100	1	168	1	168	0.0e+00	329.3	KO:K02160	acetyl-CoA carboxylase biotin carboxyl carrier protein		Yes
637449019	346	100	1	346	1	346	0.0e+00	707.6	KO:K00097	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	EC:1.1.1.262	Yes
637449024	170	100	1	170	1	170	0.0e+00	324.3	KO:K07120			Yes
637449026	384	79.9	1	384	1	384	0.0e+00	634.4	KO:K00436	NAD-reducing hydrogenase large subunit [EC:1.12.1.2]	EC:1.12.1.2	Yes
637449027	372	100	1	372	1	372	0.0e+00	726.9	KO:K02188	cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]	EC:2.1.1.195	Yes
637449028	528	100	1	528	1	528	0.0e+00	1061.6	KO:K01951	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	EC:6.3.5.2	Yes
637449031	596	100	1	596	1	596	0.0e+00	1195.3	KO:K05515	penicillin-binding protein 2		Yes
637449035	886	100	1	886	1	886	0.0e+00	1741.1	KO:K01872	alanyl-tRNA synthetase [EC:6.1.1.7]	EC:6.1.1.7	Yes
637449036	648	100	1	648	1	648	0.0e+00	1280.8	KO:K01585	arginine decarboxylase [EC:4.1.1.19]	EC:4.1.1.19	Yes
637449037	152	100	1	152	1	152	0.0e+00	312.4	KO:K00940	nucleoside-diphosphate kinase [EC:2.7.4.6]	EC:2.7.4.6	Yes
637449038	369	100	1	369	1	369	0.0e+00	744.6	KO:K03153	glycine oxidase [EC:1.4.3.19]	EC:1.4.3.19	Yes
637449039	490	100	1	490	1	490	0.0e+00	971.5	KO:K02434	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]	EC:6.3.5.6	Yes
637449039	490	100	1	490	1	490	0.0e+00	971.5	KO:K02434	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]	EC:6.3.5.7	Yes
637449040	204	100	1	204	1	204	0.0e+00	411	KO:K00859	dephospho-CoA kinase [EC:2.7.1.24]	EC:2.7.1.24	Yes
637449041	402	100	1	402	1	402	0.0e+00	790	KO:K00620	glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	EC:2.3.1.1	Yes
637449041	402	100	1	402	1	402	0.0e+00	790	KO:K00620	glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	EC:2.3.1.35	Yes
637449042	223	100	1	223	1	223	0.0e+00	436	KO:K03496	chromosome partitioning protein		Yes
637449044	374	100	1	374	1	374	0.0e+00	765	KO:K07444	putative N6-adenine-specific DNA methylase [EC:2.1.1.-]	EC:2.1.1.-	Yes
637449048	1194	100	1	1194	1	1194	0.0e+00	2296.9	KO:K03529	chromosome segregation protein		Yes
637449052	449	100	1	449	1	449	0.0e+00	901	KO:K01961	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]	EC:6.3.4.14	Yes
637449052	449	100	1	449	1	449	0.0e+00	901	KO:K01961	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]	EC:6.4.1.2	Yes
637449054	46	100	1	46	1	46	3.9e-17	87.8	KO:K02722	photosystem II PsbX protein		Yes
637449057	660	100	1	660	1	660	0.0e+00	1318.5	KO:K02471	putative ATP-binding cassette transporter		Yes
637449059	113	100	1	113	1	113	0.0e+00	236.5	KO:K02503	histidine triad (HIT) family protein		Yes
637449060	201	100	1	201	1	201	0.0e+00	396.4	KO:K01462	peptide deformylase [EC:3.5.1.88]	EC:3.5.1.88	Yes
637449062	425	100	1	425	1	425	0.0e+00	857.4	KO:K11717	cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]	EC:2.8.1.7	Yes
637449062	425	100	1	425	1	425	0.0e+00	857.4	KO:K11717	cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]	EC:4.4.1.16	Yes
637449063	405	72.8	1	405	1	405	0.0e+00	592.8	KO:K09015	Fe-S cluster assembly protein SufD		Yes
637449064	261	100	1	261	1	261	0.0e+00	513.5	KO:K09013	Fe-S cluster assembly ATP-binding protein		Yes
637449065	480	100	1	480	1	480	0.0e+00	954.1	KO:K09014	Fe-S cluster assembly protein SufB		Yes
637449067	368	100	1	368	1	368	0.0e+00	738	KO:K09942	hypothetical protein		Yes
637449068	545	100	1	545	1	545	0.0e+00	1095.1	KO:K01835	phosphoglucomutase [EC:5.4.2.2]	EC:5.4.2.2	Yes
637449069	429	100	1	429	1	429	0.0e+00	845.9	KO:K07478	putative ATPase		Yes
637449071	155	100	1	155	1	155	0.0e+00	318.2	KO:K03564	peroxiredoxin Q/BCP [EC:1.11.1.15]	EC:1.11.1.15	Yes
637449072	226	100	1	226	1	226	0.0e+00	451.8	KO:K03525	type III pantothenate kinase [EC:2.7.1.33]	EC:2.7.1.33	Yes
637449073	240	100	1	240	1	240	0.0e+00	496.1	KO:K00390	phosphoadenosine phosphosulfate reductase [EC:1.8.4.8]	EC:1.8.4.8	Yes
